id,port_name,Continent_Code,country,iso3,lat,lon,handling,vessel_type_main
port771,Mostaganem,AF,Algeria,DZA,35.93460181007011,0.07689212099886983,0.30351175694710775,Dry bulk
port856,Oran,AF,Algeria,DZA,35.71085450792544,-0.638375153984365,0.30351175694710775,Dry bulk
port969,Port Methanier,AF,Algeria,DZA,36.87271664206517,6.950761303830284,0.2650697493019261,Dry bulk
port23,Al Iskandariyh (Alexandria),AF,Egypt,EGY,31.15536501576496,29.83759052975967,0.2607971486851455,Dry bulk
port71,As Suways,AF,Egypt,EGY,29.95100833326704,32.53063921384054,0.29066202839613897,Dry bulk
port191,Bur Safago,AF,Egypt,EGY,26.72555551498284,33.94223110377931,0.29066202839613897,Dry bulk
port192,Bur Said (Port Said),AF,Egypt,EGY,31.24958629248318,32.30771942243283,0.33666681606226306,Dry bulk
port274,Damietta,AF,Egypt,EGY,31.46213685563102,31.75947247640931,0.2745221204410084,Dry bulk
port321,El-Adabiya,AF,Egypt,EGY,29.90416291245046,32.46211563003946,0.29066202839613897,Dry bulk
port828,North Ain Sukhna Port,AF,Egypt,EGY,29.64742881823889,32.35392159113331,0.29066202839613897,Dry bulk
port751,Mitsiwa Harbor,AF,Eritrea,ERI,15.59947971686772,39.46163975758146,0.30766004538899777,Dry bulk
port8,Ad Dakhla,AF,Western Sahara,ESH,23.66793950705166,-15.95267390406353,0.30766004538899777,Dry bulk
port623,Laayoune,AF,Western Sahara,ESH,27.07269946794374,-13.42120474946979,0.30766004538899777,Dry bulk
port645,Libreville,AF,Gabon,GAB,0.3785029341004742,9.452744112340499,0.32485832044644014,Dry bulk
port973,Port Owendo,AF,Gabon,GAB,0.2972698238458409,9.499877013129524,0.32485832044644014,Dry bulk
port952,Port Gentil,AF,Gabon,GAB,-0.6869202254603943,8.77198126390264,0.32485832044644014,Dry bulk
port1177,Sekondi,AF,Ghana,GHA,4.938594581377655,-1.70241417090722,0.3199858920859612,Dry bulk
port1255,Takoradi,AF,Ghana,GHA,4.891730058849944,-1.741934420699151,0.338799285750217,Dry bulk
port1282,Tema,AF,Ghana,GHA,5.626168215199538,0.0007896226035501763,0.30117249842170535,Dry bulk
port258,Conakry,AF,Guinea,GIN,9.51414335959939,-13.71524094921136,0.338799285750217,Dry bulk
port536,Kamsar,AF,Guinea,GIN,10.64818174581655,-14.60681316768238,0.338799285750217,Dry bulk
port1359,Victoria,AF,Guinea,GIN,10.74962619979613,-14.55959825024323,0.338799285750217,Dry bulk
port113,Banjul,AF,Gambia,GMB,13.44443552390442,-16.57415168473741,0.30766004538899777,Dry bulk
port150,Bissau,AF,Guinea-Bissau,GNB,11.85997214110824,-15.57618049753753,0.30766004538899777,Dry bulk
port124,Bata,AF,Equatorial Guinea,GNQ,1.825625915861571,9.739146967804762,0.30766004538899777,Dry bulk
